YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV
1958,7,10,6,15,59.9,USA,AK,"SE. ALASKA, AK",58.37,-136.665,524.6,,4.6,5
1958,9,17,12,24,,RUSSIA,,N. KURIL ISLANDS,48.6,156.1,0.23,,-2.3,-1
1958,11,4,22,54,46,PACIFIC OCEAN,,EAST PACIFIC RISE,-50,-115,0.1,,,
1958,11,6,22,58,8.6,RUSSIA,,S. KURIL ISLANDS,44.53,148.54,5,,2,2.5
1958,11,12,20,23,,RUSSIA,,S. KURIL ISLANDS,44.2,148.8,1,,,-1
1959,1,22,5,10,0,JAPAN,,SANRIKU,37.5,142.2,0.8,,-0.3,-2
1959,2,7,9,36,51,PERU,,N. PERU,-4,-81.5,0.4,,,-2
1959,2,23,,,,GREECE,,"GRECIAN ARCHIPELAGO, CRETE",40.63,22.97,1,,,3
1959,4,9,12,24,20,RUSSIA,,S. KURIL ISLANDS,44.3,149,0.1,,-3.3,-2
1959,5,4,7,15,42,RUSSIA,,KAMCHATKA,52.5,159.5,0.2,,1,1
1959,8,17,21,4,40,SOLOMON ISLANDS,,SOLOMON ISLANDS,-7.5,156,1,,1.3,
1959,8,18,6,37,13.5,USA,MT,"HEGBEN LAKE, MONTANA",44.712,-111.215,1,,,
1959,10,26,7,35,0,JAPAN,,SANRIKU,37.5,143.2,0.11,,-3.3,-4
1960,1,13,15,40,34,PERU,,S. PERU,-15.75,-72.75,5.7,,2.6,3
1960,3,20,17,7,30,JAPAN,,SANRIKU,39.8,143.4,1,,0,-2
1960,3,23,0,23,,JAPAN,,SANRIKU,39.4,143.7,0.75,,-1,-2.5
1960,5,21,10,2,50,CHILE,,CENTRAL CHILE,-37.872,-73.243,0.3,,,-1
1960,5,22,19,11,17,CHILE,,SOUTHERN CHILE,-38.143,-73.407,25,,4.6,4
1960,7,29,17,31,45,JAPAN,,SANRIKU,40.3,142.5,0.3,,-1,-3
1960,11,20,22,1,56.4,PERU,,N. PERU,-6.8,-80.7,9,,3.2,4
1961,1,16,7,20,0,JAPAN,,"KASHIMA, JAPAN",36,142.3,0.4,,-1.3,-2
1961,1,16,11,19,0,JAPAN,,"KASHIMA, JAPAN",36,141.9,0.4,,-1.3,-2
1961,1,16,12,12,0,JAPAN,,"KASHIMA, JAPAN",36.2,141.9,0.4,,-1.3,-2
1961,2,12,21,53,0,RUSSIA,,S. KURIL ISLANDS,43.2,147.9,1,,,-0.5
1961,2,26,18,10,48.7,JAPAN,,SEIKAIDO,31.6,131.8,0.65,,,-0.5
1961,3,18,,,,SOLOMON ISLANDS,,"HONIARA, GUADALCANAL",-9.43,159.95,3.6,,,
1961,7,18,14,4,0,JAPAN,,RYUKYU ISLANDS,29.6,131.8,0.2,,-2.3,-3
1961,7,23,21,51,10.5,VANUATU,,VANUATU ISLANDS,-18.421,168.411,0.9,,,-0.5
1961,8,1,5,39,54.4,SOLOMON ISLANDS,,SOLOMON SEA,-9.849,160.614,0.9,,,
1961,8,11,15,51,0,JAPAN,,SE. HOKKAIDO ISLAND,42.9,145.6,0.1,,-3.3,-4
1961,11,15,7,17,0,JAPAN,,SE. HOKKAIDO ISLAND,42.7,145.7,0.1,,-3.3,-3.5
1962,3,12,11,40,12.2,COSTA RICA,,COSTA RICA-PANAMA,8.1,-82.9,0.1,,-3.3,
1962,4,12,0,52,43,JAPAN,,SANRIKU,38.073,142.741,1,,,-2
1962,4,23,5,58,0,JAPAN,,SE. HOKKAIDO ISLAND,42.2,143.9,0.1,,-3.3,-3.5
1962,5,11,14,11,54.1,MEXICO,,S. MEXICO,17.2,-99.6,0.81,,-0.3,0
1962,5,19,14,58,15,MEXICO,,S. MEXICO,17.2,-99.5,0.34,,,
1962,5,21,12,21,,JAPAN,,OFF COAST OF HONSHU ISLAND,41.8,142.4,0.1,,,-2
1963,2,7,19,28,,GREECE,,CORINTH GULF,38.31,22.02,6,,,5
1963,2,13,8,50,4.5,TAIWAN,,E. TAIWAN-RYUKYU ISLANDS,24.4,122.1,0.2,,-2.3,-2
1963,3,28,10,,,CANADA,BC,"GRAHAM ISLAND, BRITISH COLUMBIA",54,-132.25,5.5,,,
1963,10,9,21,39,,ITALY,,"VAJONT DAM, VAJONT RIVER",46.267,12.329,235,,,
1963,10,12,11,27,0.2,RUSSIA,,S. KURIL ISLANDS,44.426,149.272,0.12,,-3.3,-2
1963,10,13,5,17,53.4,RUSSIA,,S. KURIL ISLANDS,44.772,149.798,4.5,,2.3,2.5
1963,10,20,0,53,10.9,RUSSIA,,S. KURIL ISLANDS,44.772,150.563,15,,3.9,3
1964,3,28,3,36,14,USA,AK,"PRINCE WILLIAM SOUND, AK",61.017,-147.648,67.1,,6.1,3.5
1964,5,7,7,58,0,JAPAN,,NW. HONSHU ISLAND,40.3,139,0.6,,-0.1,0
1964,5,19,0,0,0,USA,NY,"LONG ISLAND, NY",40.8,-73.1,0.28,,,
1964,6,16,4,1,44.3,JAPAN,,NW. HONSHU ISLAND,38.65,139.2,5.8,,2.7,2
1964,7,24,8,12,39,RUSSIA,,S. KURIL ISLANDS,47.159,153.876,0.08,,-3.3,-2
1964,11,17,8,15,39.3,PAPUA NEW GUINEA,,NEW BRITAIN,-5.7,150.7,0.05,,,
1964,12,10,15,11,7.6,JAPAN,,NW. HONSHU ISLAND,40.4,138.9,0.1,,-3.3,-3
1965,2,4,5,1,21.6,USA,AK,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.29,178.55,10.7,,3.3,2.5
1965,2,19,,,,CHILE,,SOUTHERN CHILE,-41.755,-72.396,60,,,
1965,3,30,2,27,3.4,USA,AK,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",50.32,177.93,0.1,,-2.3,-1
1965,4,19,23,42,,JAPAN,,AICHI PREFECTURE,34.9,139,0.1,,,-4
1965,6,11,3,34,2,RUSSIA,,S. KURIL ISLANDS,44.7,148.7,0.1,,-3.3,-3
1965,7,2,20,58,38.1,USA,AK,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",53.03,-167.55,0.08,,-3.3,-2
1965,8,11,22,31,45.9,VANUATU,,VANUATU ISLANDS,-15.8,167.2,7,,2.8,2.5
1965,8,13,12,40,32,VANUATU,,VANUATU ISLANDS,-15.9,166.8,2,,1,1
1965,8,23,19,46,2.9,MEXICO,,MEXICO,16.3,-95.8,0.4,,-1.3,
1965,9,28,,,,PHILIPPINES,,"TAAL, LUZON ISLAND",14.002,120.993,4.7,,,
1966,3,12,16,31,21.8,TAIWAN,,E. TAIWAN-RYUKYU ISLANDS,24.1,122.6,0.1,,-3.3,0
1966,6,15,0,59,42.7,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.343,160.883,0.2,,0.5,1
1966,7,12,18,53,,RUSSIA,,BLACK SEA,44.75,37,0.2,,,1
1966,10,17,21,41,56,PERU,,CENTRAL PERU,-10.748,-78.638,3,,-1,1.5
1966,12,28,8,18,7.4,CHILE,,NORTHERN CHILE,-25.5,-70.7,0.42,,,0.5
1966,12,31,18,23,11.1,SOLOMON ISLANDS,,SANTA CRUZ ISLANDS,-11.893,166.445,2,,,1
1966,12,31,22,15,16.6,SOLOMON ISLANDS,,SANTA CRUZ ISLANDS,-12.334,166.684,0.8,,,0
1967,7,29,23,59,58.7,VENEZUELA,,CARACAS,10.6,-67.3,0.08,,,
1967,8,13,22,15,10,PAPUA NEW GUINEA,,BISMARCK SEA,-4.4,152.5,0.1,,-3.3,
1967,9,3,,,,PERU,,CENTRAL PERU,-10.6,-79.8,2,,1,-1.5
1967,12,4,,,,ANTARCTICA,,"TELEPHONE BAY, DECEPCION ISLAND",-63,-60.5,1,,,0
1968,1,29,10,19,7.2,RUSSIA,,S. KURIL ISLANDS,43.586,146.701,0.18,,-1.7,-1
1968,2,19,22,45,45.7,GREECE,,"LEMNOS ISLAND, NORTH AEGEAN SEA",39.368,24.957,1.2,,0.3,3
1968,4,1,0,42,4.2,JAPAN,,SEIKAIDO,32.3,132.5,3.07,,1.3,1
1968,4,18,19,38,15,ITALY,,LIGURIA-COTE D'AZUR,44.08,8,3,,,2
1968,5,16,0,48,55.4,JAPAN,,OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,6,,2.3,2
1968,5,16,10,39,1.6,JAPAN,,OFF COAST OF HONSHU ISLAND,41.5,142.7,0.58,,,-0.5
1968,6,12,13,41,50.7,JAPAN,,SANRIKU,39.4,143.1,0.95,,1.6,0
1968,7,25,7,23,7.8,NEW ZEALAND,,KERMADEC ISLANDS,-30.8,-178.4,0.05,,,
1968,8,1,20,19,21.9,PHILIPPINES,,E. LUZON ISLAND,16.5,122.2,0.16,,-1.7,
1968,8,5,7,17,0,JAPAN,,SEIKAIDO-NANKAIDO,33.3,132.2,0.03,,,0
1968,8,10,2,7,4.3,INDONESIA,,N. MOLUCCAS ISLANDS,1.4,126.2,0.4,,-1.3,1
1968,8,14,22,14,19.4,INDONESIA,,BANDA SEA,0.2,119.8,10,,3.3,2.5
1968,9,3,8,19,52.2,TURKEY,,BLACK SEA,41.8,32.3,3,,,
1968,9,25,,,,MEXICO,,S. MEXICO-GUATEMALA-NICARAGUA,15.6,-92.6,2,,,1
1969,2,23,0,36,56.6,INDONESIA,,MAKASSAR STRAIT,-3.1,118.9,4,,2,2
1969,2,28,2,40,32.5,PORTUGAL,,PORTUGAL,36.017,-10.95,0.9,,,
1969,4,12,5,44,,SWEDEN,,NORSALV RIVER,59.4,13.5,5,,,
1969,4,21,7,19,,JAPAN,,RYUKYU ISLANDS,32.2,132.1,0.1,,-2.3,-3
1969,8,11,21,26,36,RUSSIA,,S. KURIL ISLANDS,43.6,147.9,5,,1.4,2
1969,11,22,23,9,37,RUSSIA,,KAMCHATKA,57.7,163.6,15,,3.9,3
1969,12,25,21,32,27.3,GUADELOUPE (FRENCH TERRITORY),,GRAND BOURG,15.8,-59.7,0.46,,-3.3,
1970,1,10,12,7,8.6,PHILIPPINES,,PHILIPPINE TRENCH,6.8,126.7,0.06,,,
1970,3,11,22,38,34.6,USA,AK,"ANDREANOF ISLANDS, AK",57.5,-153.9,0.03,,,
1970,5,31,20,23,27.3,PERU,,N. PERU,-9.2,-78.8,0.38,,0.8,
1970,7,25,22,41,10.7,JAPAN,,SEIKAIDO,32.2,131.7,0.32,,-0.7,
1970,9,28,19,1,,NEW ZEALAND,,NEW ZEALAND,-44.64,173.62,1,,,
1970,10,31,17,53,9.3,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-4.907,145.471,3,,0.3,0.5
1970,12,4,1,59,25,RUSSIA,,BLACK SEA,43.84,39.34,0.8,,,2
1971,3,19,,,,PERU,,CHUNGAR,-11.116,-76.5,30,,,
1971,5,2,6,8,27.8,USA,AK,"ANDREANOF ISLANDS, AK",51.228,-177.173,0.04,,,-3
1971,7,9,3,3,18.7,CHILE,,CENTRAL CHILE,-32.5,-71.2,1.2,,0.3,0
1971,7,14,6,11,29.1,PAPUA NEW GUINEA,,SOLOMON SEA,-5.5,153.9,6,,1.6,1
1971,7,26,1,23,21.3,PAPUA NEW GUINEA,,SOLOMON SEA,-4.9,153.2,10,,3.3,1.5
1971,8,2,7,24,56.8,JAPAN,,JAPAN TRENCH,41.4,143.5,0.51,,-2.3,-0.5
1971,9,5,18,35,25,RUSSIA,,TATAR STRAIT,46.5,141.2,2,,,
1971,9,6,13,37,10.8,RUSSIA,,TATAR STRAIT,46.7,141.4,0.32,,,
1971,9,8,11,48,23.4,RUSSIA,,TATAR STRAIT,46.4,141.1,0.09,,,-3
1971,9,8,16,59,52.6,RUSSIA,,TATAR STRAIT,46.3,140.9,0.07,,-0.7,-3
1971,9,25,4,36,14,PAPUA NEW GUINEA,,BISMARCK SEA,-6.5,146.6,1.8,,0.8,0.5
1971,9,27,19,1,45.3,RUSSIA,,TATAR STRAIT,46.4,141.1,0.03,,,-4
1971,11,6,22,0,0.1,USA,AK,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.5,179.1,0.1,,,
1971,12,15,8,29,55.3,RUSSIA,,KAMCHATKA,56,163.3,0.47,,,
1972,1,25,2,6,23.3,TAIWAN,,E. TAIWAN,22.5,122.3,0.05,,-3.3,-2
1972,2,29,9,22,59.8,JAPAN,,EAST OFF HACHIJO ISLAND,33.3,140.8,0.42,,-1.3,0.5
1972,7,30,21,45,14.1,USA,AK,"SE. ALASKA, AK",56.82,-135.685,0.1,,-2.3,-2
1972,8,17,23,44,5.9,PAPUA NEW GUINEA,,SOLOMON SEA,-6,152.9,0.6,,-1,
1972,8,26,8,15,,PAPUA NEW GUINEA,,SOLOMON SEA,-6.7,147,1.5,,0.6,
1972,12,2,0,19,47.2,PHILIPPINES,,"MINDANAO ISLAND, PHILIPPINES",6.5,126.6,0.5,,-2.3,
1972,12,4,10,16,12,JAPAN,,CHICHI JIMA,33.3,140.7,0.5,,-1,-1
1973,1,30,21,1,12.5,MEXICO,,S. MEXICO,18.48,-103,1.13,,0.1,
1973,2,28,6,37,49.5,RUSSIA,,N. KURIL ISLANDS,50.5,156.6,1.5,,0.6,0.5
1973,3,17,8,30,51.8,PHILIPPINES,,QUEZON,13.4,122.8,1.3,,,
1973,6,17,3,55,2.9,JAPAN,,HOKKAIDO ISLAND,43.2,145.8,5.96,,2.2,1
1973,6,24,2,43,25.5,RUSSIA,,S. KURIL ISLANDS,43.3,146.4,0.64,,2.2,
1973,6,26,22,32,0.2,RUSSIA,,S. KURIL ISLANDS,43.2,146.6,0.21,,,
1973,10,5,5,47,51.1,CHILE,,CENTRAL CHILE,-32.5,-71.5,0.4,,-1.3,-1
1974,1,31,23,30,5.3,SOLOMON ISLANDS,,SOLOMON ISLANDS,-7.5,155.9,1.5,,2.2,1
1974,2,1,3,12,33.1,SOLOMON ISLANDS,,SOLOMON ISLANDS,-7.4,155.6,4.5,,2.2,2
1974,5,8,23,33,25.2,JAPAN,,TOKAIDO,34.6,138.7,0.2,,-2.3,-2.5
1974,9,27,5,47,29.4,RUSSIA,,S. KURIL ISLANDS,43.2,146.7,0.37,,0.6,-1
1974,10,3,14,21,29.1,PERU,,CENTRAL PERU,-12.27,-77.79,0.92,,0.8,1
1974,10,17,19,5,,CANADA,BC,"KITIMAT INLET, BRITISH COLOMBIA",54,-128.7,2.8,,,
1974,10,17,,,,PAPUA NEW GUINEA,,"RITTER ISLAND, PAPUA NEW GUINEA",-5.52,148.121,0.5,,-1,
1975,4,27,18,5,,CANADA,BC,"KITIMAT INLET, BRITISH COLUMBIA",53.98,-128.68,4.1,,,
1975,5,26,9,11,51.5,ATLANTIC OCEAN,,AZORES GIBRALTAR FRACTURE ZONE,35.997,-17.649,0.76,,,
1975,6,10,13,47,14.5,RUSSIA,,S. KURIL ISLANDS,43.024,147.734,5.5,,2.3,2
1975,7,20,14,37,39.9,PAPUA NEW GUINEA,,SOLOMON SEA,-6.59,155.054,2,,1,1
1975,10,31,8,28,2.6,PHILIPPINES,,PHILIPPINE TRENCH,12.54,125.993,3,,-0.7,-1.5
1975,11,29,14,47,40.9,USA,HI,HAWAII,19.451,-155.033,14.3,,3,3
1975,12,26,15,56,38.7,SAMOA,,SAMOA ISLANDS,-16.265,-172.467,0.38,,-0.3,
1976,1,14,16,47,33.5,NEW ZEALAND,,KERMADEC ISLANDS,-28.427,-177.657,0.9,,-0.1,
1976,1,21,10,5,24.1,RUSSIA,,S. KURIL ISLANDS,44.915,149.123,0.38,,-1.3,-2.5
1976,2,4,9,1,43.4,GUATEMALA,,GUATEMALA,15.324,-89.101,0.12,,,
1976,8,16,16,11,7.3,PHILIPPINES,,MORO GULF,6.292,124.09,9,,2.3,2.5
1977,4,2,7,15,22.7,SAMOA,,SAMOA ISLANDS,-16.696,-172.095,0.08,,-3.3,-2
1977,4,20,23,13,10.4,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.828,163.323,0.15,,-3.3,-1
1977,4,21,4,24,9.6,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.965,160.731,0.04,,-3.3,-1.5
1977,6,22,12,8,33.4,TONGA,,TONGA TRENCH,-22.878,-175.9,0.4,,,
1977,8,19,6,8,55.2,INDONESIA,,SUNDA ISLANDS,-11.085,118.464,15,,3.9,3
1977,8,20,,,,PAPUA NEW GUINEA,,ADMIRALTY ISLANDS,-1.1,146.2,0.5,,-1,
1977,8,28,20,10,5,PAPUA NEW GUINEA,,ADMIRALTY ISLANDS,-1.081,146.23,0.6,,-0.7,-0.5
1977,10,10,11,53,53.6,TONGA,,TONGA TRENCH,-25.856,-175.406,0.03,,,-3
1978,1,14,3,24,39,JAPAN,,TOKAIDO,34.809,139.259,0.35,,-0.7,
1978,3,22,0,50,32.2,RUSSIA,,S. KURIL ISLANDS,44.026,149.002,0.07,,0.1,-2.5
1978,3,22,21,34,33.4,RUSSIA,,S. KURIL ISLANDS,44.14,149.029,0.05,,,-3
1978,3,23,0,31,2.1,RUSSIA,,S. KURIL ISLANDS,44.209,148.971,0.17,,-2.3,-1.5
1978,3,23,3,15,20.3,RUSSIA,,S. KURIL ISLANDS,44.932,148.439,0.3,,-2.3,0
1978,3,24,19,47,50.7,RUSSIA,,S. KURIL ISLANDS,44.244,148.862,0.65,,-1.7,0
1978,6,12,8,14,26.4,JAPAN,,SANRIKU,38.19,142.03,0.6,,,0.5
1978,6,14,12,32,33.9,PHILIPPINES,,"MINDANAO ISLAND, PHILIPPINES",8.249,122.403,0.03,,-3.3,
1978,6,20,20,3,21,GREECE,,"THESSALONIKI (SALONICA), GREECE",40.739,23.229,0.45,,,2
1978,6,21,,,,ITALY,,"EASTERN ITALY, ADRIATIC SEA",42,16,0.6,,,4
1978,7,23,14,42,36.9,TAIWAN,,TAIWAN,22.282,121.512,0.05,,-3.3,-1
1978,8,14,14,17,50.4,SPAIN,,CADIZ,36.37,-6.98,0.12,,,1
1978,11,29,19,52,47.6,MEXICO,,MEXICO,16.01,-96.591,1.5,,0.6,
1979,2,20,6,32,32.2,JAPAN,,"IWATE, JAPAN",40.232,143.703,0.12,,-1.7,
1979,2,28,21,27,8.1,USA,AK,"SE. ALASKA, AK",60.691,-141.671,0.15,,-1.7,
1979,3,14,11,7,16.3,MEXICO,,S. MEXICO,17.813,-101.276,1.3,,-3.3,
1979,4,15,6,19,44.1,SERBIA AND MONTENEGRO,,MONTENEGRO,42.096,19.209,0.6,,,1
1979,7,18,,,,INDONESIA,,LOMBLEN ISLAND [LEMBATA],-8.6,123.5,9,,,
1979,9,12,5,17,51.4,INDONESIA,,IRIAN JAYA,-1.679,136.04,2,,1,
1979,10,6,,,,NORWAY,,NORTHERN NORWAY,65.117,12.333,2,,,3
1979,10,16,13,57,,FRANCE,,FRENCH RIVIERA (LIGURIAN SEA),43.7,7.25,10,,1.6,
1979,12,12,7,59,3.3,COLOMBIA,,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,6,,2.3,2.5
1980,2,23,5,51,3.2,RUSSIA,,S. KURIL ISLANDS,43.53,146.753,0.6,,-0.7,-2
1980,5,18,,,,USA,WA,WASHINGTON,46.2,-122.18,250,,,
1980,6,29,7,20,5.5,JAPAN,,HONSHU ISLAND,34.808,139.181,0.56,,-0.7,
1980,7,17,19,42,23.2,SOLOMON ISLANDS,,SOLOMON ISLANDS,-12.525,165.916,0.14,,-1.7,
1980,10,10,12,25,23.5,ALGERIA,,EL ASNAM,36.195,1.354,0.7,,,2
1981,1,18,18,17,24.4,JAPAN,,E. HONSHU ISLAND,38.64,142.75,0.37,,-1.3,
1981,2,24,20,53,38.4,GREECE,,ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,0.3,,,3
1981,3,4,21,58,5.9,GREECE,,GULF OF CORINTH,38.209,23.288,1,,,
1981,5,11,7,10,,SOUTH AFRICA,,AGULHAS BANK,-35.616,20.267,0.29,,,
1981,5,25,5,25,14.4,NEW ZEALAND,,NEW ZEALAND,-48.786,164.357,0.3,,-1.7,
1981,9,1,9,29,31.5,SAMOA,,SAMOA ISLANDS,-14.96,-173.085,1,,-3.3,-2
1981,10,25,3,22,15.5,MEXICO,,MEXICO,18.084,-102.084,0.09,,,
1982,1,11,6,10,6.4,PHILIPPINES,,PHILIPPINES,13.752,124.358,0.1,,,
1982,2,24,4,22,40.3,INDONESIA,,JAVA TRENCH,4.374,97.755,0.1,,,
1982,3,11,10,32,27.1,INDONESIA,,SUMBAWA ISLAND,-9.265,118.479,0.1,,,
1982,3,21,2,32,7.7,JAPAN,,HOKKAIDO ISLAND,42.158,142.361,1.3,,0.4,
1982,7,23,14,23,53.5,JAPAN,,"IBARAKI, JAPAN",36.194,141.702,0.4,,-1.3,-1
1982,12,19,17,43,54.8,TONGA,,KERMADEC ISLANDS,-24.133,-175.864,0.2,,-2.3,
1982,12,28,6,37,42.5,JAPAN,,S. OF HONSHU ISLAND,33.826,139.434,0.19,,-1.3,-1
1983,3,12,1,36,35.8,INDONESIA,,BANDA SEA,-4.056,127.924,3,,1.6,1.5
1983,3,18,9,5,50,PAPUA NEW GUINEA,,NEW BRITAIN,-4.883,153.581,0.3,,-1.7,
1983,5,26,2,59,59.6,JAPAN,,"NOSHIRO, JAPAN",40.462,139.102,14.93,,3.9,2
1983,6,9,12,49,3.8,JAPAN,,"NOSHIRO, JAPAN",40.249,138.948,0.6,,,
1983,6,21,6,25,27.3,JAPAN,,N. HONSHU ISLAND,41.346,139.099,1,,,
1983,8,17,10,55,54.1,RUSSIA,,"KAMCHATKA BAY, RUSSIA",55.867,161.287,0.1,,-3.3,
1983,8,17,12,17,56,PHILIPPINES,,LUZON ISLAND,18.231,120.86,0.1,,,
1983,8,18,9,,,NORWAY,,WESTERN NORWAY,61.233,7.717,7,,,4
1983,10,4,18,52,13.3,CHILE,,NORTHERN CHILE,-26.535,-70.563,0.2,,-2.3,0.2
1983,11,30,17,46,0.6,UK TERRITORY,,CHAGOS ARCHIPELAGO REGION,-6.852,72.11,1.5,,-1.3,
1984,1,8,15,24,13.5,INDONESIA,,SULAWESI,-2.823,118.806,0.1,,,
1984,3,24,9,44,2.6,RUSSIA,,S. KURIL ISLANDS,44.117,148.192,0.2,,-2.3,-2
1984,6,13,2,29,25.3,JAPAN,,"TORI SHIMA, OKINAWA",31.448,140.036,0.5,,0.6,
1984,8,6,19,6,38.3,JAPAN,,"KYUSHU, JAPAN",32.386,131.945,0.2,,-2.3,
1984,9,18,17,2,44.3,JAPAN,,HONSHU ISLAND,34.006,141.5,0.13,,-3.3,
1984,12,28,10,37,53.7,RUSSIA,,KAMCHATKA,56.194,163.46,0.2,,-2.3,
1985,3,3,22,47,9.5,CHILE,,CENTRAL CHILE,-33.132,-71.708,3.5,,1.6,
1985,3,16,14,54,0.7,GUADELOUPE (FRENCH TERRITORY),,GUADELOUPE,17.013,-62.448,0.12,,-3.3,
1985,4,13,1,6,0.1,INDONESIA,,BALI ISLAND,-9.245,114.185,2,,,
1985,7,3,4,36,51.7,PAPUA NEW GUINEA,,NEW IRELAND,-4.439,152.828,1.3,,0.4,
1985,9,19,13,17,47.3,MEXICO,,MEXICO,18.19,-102.533,3,,1.6,
1985,9,21,1,37,13.4,MEXICO,,MEXICO,17.802,-101.647,1.2,,0.3,
1986,5,7,22,47,10.8,USA,AK,"ANDREANOF ISLANDS, AK",51.52,-174.776,0.9,,-0.1,
1986,10,20,6,46,9.9,NEW ZEALAND,,KERMADEC ISLANDS,-28.117,-176.367,0.22,,-2.18,
1986,11,14,21,20,10.5,TAIWAN,,TAIWAN,23.901,121.574,0.3,,,
1987,2,6,13,16,17.8,JAPAN,,E. HONSHU ISLAND,36.988,141.689,0.1,,-3.3,
1987,2,8,18,33,58.3,PAPUA NEW GUINEA,,SOLOMON SEA,-6.088,147.689,1.5,,1,
1987,2,21,7,40,,NORWAY,,WESTERN NORWAY,62.2,6.65,3,,,2
1987,3,5,9,17,5.2,CHILE,,NORTHERN CHILE,-24.388,-70.161,0.2,,-2.3,
1987,3,18,3,36,30.3,JAPAN,,KYUSHU ISLAND,32.034,131.837,0.04,,-3.3,
1987,3,24,12,49,47,JAPAN,,HONSHU ISLAND,37.447,137.865,0.16,,,
1987,6,18,14,3,16.7,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.717,162.33,0.1,,,
1987,7,6,2,49,42.7,VANUATU,,VANUATU ISLANDS,-14.074,167.828,0.1,,,
1987,10,6,4,19,6,TONGA,,TONGA ISLANDS,-17.94,-172.225,0.25,,-3.3,
1987,10,12,13,57,4.7,PAPUA NEW GUINEA,,SOLOMON SEA,-7.288,154.371,0.1,,-0.5,
1987,10,16,20,48,1.6,PAPUA NEW GUINEA,,SOLOMON SEA,-6.266,149.06,0.1,,-3.3,
1987,11,17,8,46,53.3,USA,AK,"GULF OF ALASKA, AK",58.586,-143.27,0.06,,-3.3,
1987,11,26,1,43,14,INDONESIA,,TIMOR SEA,-8.247,124.155,0.1,,,
1987,11,30,19,23,19.5,USA,AK,"GULF OF ALASKA, AK",58.679,-142.786,0.43,,-1,
1988,2,5,14,1,2.7,CHILE,,NORTHERN CHILE,-24.753,-70.433,0.1,,,
1988,3,6,22,35,36.9,USA,AK,"GULF OF ALASKA, AK",57.262,-142.747,0.19,,-2.3,
1988,4,20,5,30,,ITALY,,"LA FOSSA VOLCANO, VULCANO IS.",38.4,14.967,2,,,
1988,6,24,2,6,26.3,PHILIPPINES,,NORTH OF LUZON ISLAND,18.606,121.013,1.03,,,
1988,7,5,20,32,7.2,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-5.964,148.78,0.1,,,
1988,8,10,4,38,29.2,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.258,160.896,0.09,,-3.3,
