YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV
1989,5,23,10,54,46.3,AUSTRALIA,,MACQUARIE ISLAND,-52.341,160.568,0.1,,-1.7,
1989,6,26,3,27,3.9,USA,HI,HAWAII,19.362,-155.083,0.29,,-1.7,
1989,9,4,13,14,58.2,USA,AK,"SEMIDI ISLANDS, AK",55.543,-156.835,0.1,,-3.3,
1989,10,18,0,4,15.2,USA,CA,N. CALIFORNIA,37.036,-121.883,1,,-3.3,
1989,10,29,5,25,38.2,JAPAN,,N. HONSHU ISLAND,39.571,143.333,0.11,,,
1989,11,1,10,25,52.2,USA TERRITORY,PR,PUERTO RICO,18.986,-68.833,0.1,,,
1989,11,1,18,25,34.9,JAPAN,,JAPAN,39.837,142.76,0.9,,-0.7,
1990,2,8,7,15,32.2,PHILIPPINES,,PHILIPPINES,9.755,124.694,2.1,,,
1990,2,20,6,53,39.8,JAPAN,,JAPAN,34.706,139.252,0.16,,-1.7,
1990,3,25,13,22,55.6,COSTA RICA,,COSTA RICA,9.919,-84.808,1,,,
1990,4,5,21,12,35.5,USA TERRITORY,MP,"MARIANA TRENCH, N. MARIANA ISLANDS",15.125,147.596,1.8,,-1,
1990,5,,,,,PHILIPPINES,,"CANIGUIN IS.,PHILIPPINES",7,126,5,,,
1990,9,23,21,13,7.4,JAPAN,,"W. OF BONIN ISLANDS, IZU IS., JAPAN",33.267,138.643,0.2,,,
1990,12,13,0,24,25.7,ITALY,,EASTERN SICILY,37.3,15.438,0.1,,,
1990,12,13,19,50,17.8,TAIWAN,,TAIWAN,23.722,121.627,0.04,,,
1991,2,9,16,18,58.3,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.929,159.139,0.1,,-3.3,
1991,2,16,1,23,40.4,RUSSIA,,N. KURIL ISLANDS,48.268,154.328,0.1,,-3.3,
1991,2,21,2,35,34,USA,AK,"BERING SEA, AK",58.427,-175.45,0.15,,-1.7,
1991,4,22,21,56,51.8,COSTA RICA,,"LIMON, PANDORA",9.685,-83.073,3,,1,
1991,5,7,,,,GREECE,,EAST AEGEAN SEA,37.133,26.833,0.5,,-3.3,
1991,10,14,15,58,12.7,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.094,158.442,0.15,,-3.3,-2.5
1991,12,22,8,43,13.4,RUSSIA,,S. KURIL ISLANDS,45.533,151.021,0.52,,,0.5
1992,1,5,6,0,0,CHINA,,SOUTH CHINA SEA,18,108,0.8,,-0.3,
1992,4,25,18,6,4.2,USA,CA,"CAPE MENDOCINO, N. CALIFORNIA",40.368,-124.316,1.8,,0.8,0.5
1992,5,17,10,15,31.3,PHILIPPINES,,PHILIPPINES,7.191,126.762,6,,,
1992,5,27,5,13,38.8,SOLOMON ISLANDS,,SANTA CRUZ ISLANDS,-11.122,165.239,0.1,,,
1992,7,18,8,36,58.7,JAPAN,,HONSHU ISLAND,39.419,143.33,0.3,,-2.3,-0.5
1992,9,2,0,16,2.8,NICARAGUA,,NICARAGUA,11.727,-87.386,9.9,,3.3,2.8
1992,12,12,5,29,26.3,INDONESIA,,FLORES SEA,-8.48,121.896,26.2,,4.7,2.7
1993,2,7,13,27,42,JAPAN,,HONSHU ISLAND,37.634,137.245,0.5,,-1,-0.5
1993,6,8,13,3,36.4,RUSSIA,,KAMCHATKA,51.218,157.829,0.1,,-1,-0.5
1993,7,12,13,17,11.9,JAPAN,,SEA OF JAPAN,42.851,139.197,32,,5,3.1
1993,8,7,19,42,41.9,JAPAN,,JAPAN,41.985,139.839,0.16,,,
1993,8,8,8,34,24.9,USA TERRITORY,GU,"GUAM, MARIANA ISLANDS",12.982,144.801,2.4,,-1,
1993,11,13,1,18,4.1,RUSSIA,,KAMCHATKA,51.934,158.647,0.05,,-3.3,-3
1994,1,4,,,,USA,ME,"COREA HARBOR, MAINE",44.4,-67.97,1.5,,,
1994,1,17,12,30,55.3,USA,,"WEST COAST, USA",34.213,-118.537,0.1,,-3.3,-3
1994,1,21,2,24,29.9,INDONESIA,,HALMAHERA,1.015,127.733,2,,1,1.5
1994,4,8,1,10,40.8,JAPAN,,HOKKAIDO ISLAND,40.608,143.683,0.11,,-2.3,-1.5
1994,4,28,11,30,,NORWAY,,WESTERN NORWAY,61.267,6.583,4,,,4
1994,5,24,4,0,42.1,TAIWAN,,TAIWAN,23.959,122.448,0.02,,,
1994,6,2,18,17,34,INDONESIA,,SOUTH OF JAVA,-10.477,112.835,13.9,,3.7,2.5
1994,6,3,21,6,59.8,INDONESIA,,SOUTH OF JAVA,-10.362,112.892,3.7,,,
1994,6,5,1,45,2.7,INDONESIA,,SOUTH OF JAVA,-10.341,113.369,3,,,
1994,9,1,15,15,53,USA,CA,N. CALIFORNIA,40.402,-125.68,0.07,,-3.3,-3
1994,9,19,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-4.238,152.214,1.2,,1.2,
1994,10,4,13,22,55.8,RUSSIA,,S. KURIL ISLANDS,43.773,147.321,10.4,,2.3,2.6
1994,10,8,21,44,7.2,INDONESIA,,HALMAHERA,-1.258,127.98,3,,1.6,1.5
1994,10,9,7,55,39.5,RUSSIA,,S. KURIL ISLANDS,43.905,147.916,0.2,,-3.3,-3
1994,11,4,4,12,,USA,AK,"SKAGWAY, AK",59.5,-135.3,7.62,,3.5,2.5
1994,11,14,19,15,30.6,PHILIPPINES,,PHILIPPINE ISLANDS,13.525,121.067,7.3,,2.9,2.1
1994,12,28,12,19,23,JAPAN,,"TOHUKU, JAPAN",40.525,143.419,0.53,,,
1995,1,16,20,46,52.1,JAPAN,,"KOBE, JAPAN",34.583,135.018,0.34,,-2.3,-2
1995,4,7,22,6,56.8,SAMOA,,SAMOA ISLANDS,-15.199,-173.529,0.09,,-1.7,-1.5
1995,4,21,0,34,46,PHILIPPINES,,SAMAR ISLAND,12.059,125.58,0.2,,-3.3,-2
1995,4,21,5,17,1.3,PHILIPPINES,,SAMAR ISLAND,12.047,125.92,0.2,,-2.3,-2
1995,5,14,11,33,21.1,INDONESIA,,TIMOR SEA,-8.452,125.049,4,,2,1.5
1995,5,16,20,12,44.2,NEW CALEDONIA,,LOYALTY ISLANDS,-23.008,169.9,0.5,,-1.3,-2
1995,5,27,13,3,52.6,RUSSIA,,SAKHALIN ISLAND,52.629,142.827,0.1,,-2.3,-2
1995,6,15,0,15,48.7,GREECE,,GULF OF CORINTH: AIYION,38.401,22.283,1,,-1,3
1995,7,30,5,11,23.6,CHILE,,NORTHERN CHILE,-23.34,-70.294,3,,1.6,1.5
1995,8,16,10,27,28.6,PAPUA NEW GUINEA,,SOLOMON SEA,-5.799,154.178,0.6,,-1,-1.5
1995,9,14,14,4,31.4,MEXICO,,S. MEXICO,16.779,-98.597,0.4,,-1.3,-1
1995,10,9,15,35,53.9,MEXICO,,S. MEXICO,19.055,-104.205,11,,2.3,2.5
1995,10,18,10,37,26.3,JAPAN,,RYUKYU ISLANDS,27.929,130.175,2.59,,0.8,1.5
1995,10,19,2,41,36.1,JAPAN,,RYUKYU ISLANDS,28.094,130.148,1.5,,0.6,0.5
1995,11,1,0,35,32.7,CHILE,,NORTHERN CHILE,-28.906,-71.417,0.1,,-3.3,-3
1995,11,22,4,15,11.9,EGYPT,,EGYPT,28.826,34.799,0.1,,,
1995,12,3,18,1,8.9,RUSSIA,,S. KURIL ISLANDS,44.663,149.3,1.1,,0.1,0.5
1996,1,1,8,5,10.8,INDONESIA,,SULAWESI,0.729,119.931,3.43,,2.3,1.8
1996,1,1,,,,GREECE,,W. CORINTH GULF,38.367,22.083,2,,,2
1996,1,2,15,40,,RUSSIA,,"KARYMSKOYE, KAMCHATKA, RUSSIA",54.05,159.43,30,,,
1996,2,17,5,59,30.5,INDONESIA,,IRIAN JAYA,-0.891,136.952,7.7,,2.9,1.8
1996,2,21,12,51,1.3,PERU,,N. PERU,-9.593,-79.587,5.1,,2.3,1.9
1996,2,25,3,8,15.8,MEXICO,,MEXICO,15.978,-98.07,0.1,,-3.3,-3
1996,4,24,8,0,,SWITZERLAND,,LAKE BRIENZ,46.73,7.97,0.5,,,
1996,6,10,4,3,35.4,USA,AK,"ANDREANOF ISLANDS, AK",51.564,-177.632,0.51,,,0.5
1996,6,10,15,24,56,USA,AK,"ANDREANOF ISLANDS, AK",51.478,-176.847,0.18,,-3.3,-1.5
1996,9,4,18,16,1.9,JAPAN,,HONSHU ISLAND,31.555,139.931,0.3,,-2.3,-2
1996,9,5,8,14,14.4,CHILE,,EASTER ISLAND REGION,-22.118,-113.436,0.09,,-3.3,-2.5
1996,10,18,10,50,20.8,JAPAN,,KYUSHU ISLAND,30.568,131.093,0.2,,-2.3,-2.5
1996,10,19,14,44,40.7,JAPAN,,KYUSHU ISLAND,31.885,131.468,0.55,,0.1,0.5
1996,11,12,16,59,44,PERU,,S. PERU,-14.993,-75.675,0.4,,-1.7,-1
1996,12,2,22,17,59.2,JAPAN,,SEA OF JAPAN,31.789,131.314,0.2,,-2.3,-2
1997,4,10,,,,HONDURAS,,GULF OF FONSECA,13.1,-87.6,15,,,
1997,4,21,12,2,26.4,SOLOMON ISLANDS,,SANTA CRUZ IS. VANUATU,-12.584,166.676,3,,-2.3,-2
1997,9,30,6,27,24.7,JAPAN,,S. OF HONSHU ISLAND,31.959,141.878,0.03,,,
1997,10,14,9,53,18.1,TONGA,,TONGA ISLANDS,-22.1,-176.77,0.1,,,
1997,12,5,11,26,54.6,RUSSIA,,KAMCHATKA,54.841,162.035,8,,0.6,0.5
1997,12,14,3,30,,RUSSIA,,KAMCHATKA,54.841,162.035,8,,3,2
1997,12,26,8,,,MONTSERRAT,,WHITE RIVER VALLEY,16.72,-62.18,3,,,
1998,3,19,18,30,,NORWAY,,WESTERN NORWAY,61.183,5.267,6,,,4
1998,3,25,3,12,25,ANTARCTICA,,BALLENY ISLANDS,-62.877,149.527,0.01,,,
1998,5,3,23,30,21.9,TAIWAN,,TAIWAN:  SOUTHEAST OF,22.306,125.308,0.13,,,
1998,7,17,8,49,16.1,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-2.943,142.582,15.03,,,
1998,11,29,14,10,31.9,INDONESIA,,"TALIABU ISLAND,",-2.071,124.891,2.75,,,
1999,1,20,,,,MONTSERRAT,,SOUFRIERE HILLS VOLCANO,16.722,-62.18,2,,,
1999,8,17,0,1,39.1,TURKEY,,"KOCAELI, TURKEY",40.76,29.97,2.52,,,
1999,9,13,,,,FRENCH POLYNESIA,,FATU HIVA,-10.52,-138.67,8,,,
1999,11,26,13,21,15.5,VANUATU,,VANUATU ISLANDS,-16.423,168.214,6.6,,,
2000,1,26,,,,PHILIPPINES,,"TAWI-TAWI, PHILIPPINES",5.1,120.15,20,,,
2000,4,5,4,36,59.8,GREECE,,CRETE,34.22,25.69,0.5,,,
2000,5,4,4,21,16.2,INDONESIA,,SULAWESI,-1.105,123.573,6,,,
2000,6,18,14,44,13.3,AUSTRALIA,,SOUTH INDIAN OCEAN,-13.802,97.453,0.3,,,
2000,7,1,7,1,55.5,JAPAN,,"KOZU-SHIMA ISLAND, HONSHU",34.221,139.131,0.07,,,
2000,7,15,1,30,30.5,JAPAN,,HONSHU: S COAST,34.319,139.26,0.07,,,
2000,7,30,12,25,45.5,JAPAN,,HONSHU: S COAST,33.901,139.376,0.14,,,
2000,11,4,19,30,0,USA,CA,"POINT ARGUELLO, S. CALIFORNIA",34.5,-120.65,4.6,,,
2000,11,16,4,54,56.7,PAPUA NEW GUINEA,,BISMARCK SEA,-3.98,152.169,3,,,
2000,11,21,18,4,50,GREENLAND,,PAATUUT (WEST GREENLAND),70.25,-52.75,50,,,
2001,1,13,17,33,32.3,EL SALVADOR,,EL SALVADOR,13.049,-88.66,0.25,,,
2001,6,23,20,33,14.1,PERU,,S. PERU,-16.265,-73.641,8.8,,,
2001,12,18,4,2,58.2,TAIWAN,,TAIWAN,23.954,122.734,0.12,,,
2002,1,2,17,22,48.7,VANUATU,,VANUATU ISLANDS,-17.6,167.856,3,,-4.64,-4.14
2002,3,5,21,16,9.1,PHILIPPINES,,"MINDANAO ISLAND, PHILIPPINES",6.033,124.249,3,,,
2002,3,26,3,45,48.7,JAPAN,,JAPAN,23.346,124.09,0.05,,,
2002,3,31,6,52,50.4,TAIWAN,,TAIWAN,24.279,122.179,0.2,,,
2002,9,8,18,44,23.7,PAPUA NEW GUINEA,,BISMARCK SEA,-3.302,142.945,5.5,,0.58,1.08
2002,10,10,10,50,20.5,INDONESIA,,IRIAN JAYA,-1.757,134.297,5,,2.32,2.82
2002,12,30,13,15,,ITALY,,STROMBOLI ISLAND,38.789,15.213,10.9,,,5
2003,1,20,8,43,6,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.491,160.77,2,,,
2003,1,22,2,6,34.6,MEXICO,,S. MEXICO,18.77,-104.104,0.61,,,0.5
2003,5,21,18,44,20.1,ALGERIA,,N. ALGERIA,36.964,3.634,3,,1,1.5
2003,5,27,17,11,28.8,ALGERIA,,ALGIERS,36.939,3.578,0.08,,,
2003,7,12,,,,MONTSERRAT,,SOUFRIERE HILLS VOLCANO,16.722,-62.18,4,,,
2003,8,21,12,12,49.7,NEW ZEALAND,,SOUTH ISLAND,-45.104,167.144,0.15,,,
2003,9,25,19,50,6.3,JAPAN,,HOKKAIDO ISLAND,41.815,143.91,4.4,,,
2003,10,31,1,6,28.2,JAPAN,,E. HONSHU ISLAND,37.812,142.619,0.32,,,
2003,11,17,6,43,6.8,USA,AK,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.146,178.65,0.33,,,
2003,12,27,4,55,25.4,NEW CALEDONIA,,LOYALTY ISLANDS,-22.107,169.35,0.15,,,
2004,2,11,8,15,3.8,JORDAN,,DEAD SEA,31.675,35.551,1,,,
2004,9,5,10,7,7.8,JAPAN,,SOUTH COAST HONSHU ISLAND,33.07,136.618,0.63,,,
2004,9,5,14,57,18.6,JAPAN,,SOUTH COAST HONSHU ISLAND,33.184,137.071,0.93,,,
2004,11,2,10,2,12.8,CANADA,BC,VANCOUVER ISLAND,49.277,-128.772,0.11,,,
2004,11,21,11,41,7.7,GUADELOUPE (FRENCH TERRITORY),,"BASSE-TERRE, LES SAINTES",15.679,-61.706,0.7,,,
2004,11,28,18,32,14.1,JAPAN,,HOKKAIDO ISLAND,43.006,145.119,0.12,,,
2004,12,23,14,59,4.4,AUSTRALIA,,MACQUARIE ISLAND,-49.312,161.345,0.3,,,
2004,12,26,0,58,53.4,INDONESIA,,OFF W. COAST OF SUMATRA,3.316,95.854,50.9,,,
2005,1,19,6,11,36.4,JAPAN,,E. HONSHU ISLAND,34.064,141.491,0.39,,,
2005,3,28,16,9,36.5,INDONESIA,,INDONESIA,2.085,97.108,4.2,,,
2005,4,10,10,29,11.2,INDONESIA,,KEPULAUAN MENTAWAI,-1.644,99.607,0.4,,,
2005,6,15,2,50,53.1,USA,CA,N. CALIFORNIA,41.301,-125.97,0.1,,,
2005,8,16,2,46,28.4,JAPAN,,E. COAST HONSHU ISLAND,38.276,142.039,0.05,,,
2005,11,14,21,38,51.4,JAPAN,,E. COAST HONSHU ISLAND,38.107,144.896,0.42,,,
2006,3,14,6,57,33.8,INDONESIA,,SERAM ISLAND,-3.595,127.214,3.5,,,
2006,5,3,15,26,40.2,TONGA,,TONGA,-20.187,-174.123,0.27,,,
2006,5,20,11,20,,MONTSERRAT,,SOUFRIERE HILLS VOLCANO,16.722,-62.18,1,,,
2006,7,17,8,19,28.7,INDONESIA,,SOUTH OF JAVA,-9.254,107.411,20.9,,,
2006,9,28,6,22,9.7,SAMOA,,SAMOA ISLANDS,-16.592,-172.033,0.08,,,
2006,10,15,17,7,49.2,USA,HI,HAWAII,19.878,-155.935,0.1,,,
2006,11,15,11,14,13.5,RUSSIA,,S. KURIL ISLANDS,46.592,153.266,21.9,,,
2006,12,26,12,26,21.4,CHINA,,TAIWAN,21.799,120.547,0.07,,,
2007,1,13,4,23,21.1,RUSSIA,,S. KURIL ISLANDS,46.243,154.524,0.4,,,
2007,3,25,0,40,1.6,VANUATU,,VANUATU ISLANDS,-20.617,169.357,0.08,,,
2007,3,25,0,41,57.8,JAPAN,,HONSHU: W COAST,37.336,136.588,0.1,,,
2007,4,1,20,39,56.3,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8.46,157.044,12.1,,,
2007,4,21,17,53,46.3,CHILE,,SOUTHERN CHILE,-45.285,-72.606,7.6,,,
2007,5,7,,,,BULGARIA,,BLACK SEA,43,29,3,,,
2007,8,2,2,37,42.3,RUSSIA,,TATAR STRAIT,47.116,141.798,0.19,,,
2007,8,2,3,21,42.8,USA,AK,"ALEUTIAN ISLANDS, AK",51.307,-179.971,0.03,,,
2007,8,15,23,40,57.8,PERU,,S. PERU,-13.386,-76.603,10.05,,,
2007,9,2,1,5,18.1,SOLOMON ISLANDS,,SANTA CRUZ ISLANDS,-11.61,165.762,0.05,,,
2007,9,12,11,10,26.8,INDONESIA,,SUMATRA,-4.438,101.367,5,,,
2007,9,30,5,23,34,NEW ZEALAND,,AUCKLAND ISLANDS,-49.418,163.954,0.25,,,
2007,11,14,15,40,50.5,CHILE,,NORTHERN CHILE,-22.247,-69.89,0.28,,,
2007,12,3,,,,CANADA,BC,"CHEHALIS LAKE, CHILLIWACK",49.475,-121.847,2,,,
2007,12,9,7,28,20.8,KERMADEC ISLANDS,,KERMADEC ISLANDS,-25.996,-177.514,0.03,,,
2008,2,25,8,36,33,INDONESIA,,SUMATRA,-2.486,99.972,0.12,,,
2008,4,9,12,46,12.7,NEW CALEDONIA,,LOYALTY ISLANDS,-20.071,168.892,0.16,,,
2008,4,28,18,33,34.2,VANUATU,,VANUATU ISLANDS,-19.941,168.953,0.03,,,
2008,7,19,2,39,28.7,JAPAN,,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2,,,
2008,8,8,,,,USA,AK,"KASATOCHI VOLCANO, ALEUTIAN IS, AK",52.18,-175.5,0.19,,,
2008,9,11,0,20,50.9,JAPAN,,HOKKAIDO ISLAND,41.892,143.754,0.09,,,
2008,10,28,,,,USA,,MAINE,43.8,-69.7,2,,,
2008,11,16,17,2,32.7,INDONESIA,,SULAWESI,1.271,122.091,0.13,,,
2009,1,3,19,43,50.6,INDONESIA,,NEAR NORTH COAST,-0.414,132.885,0.39,,,
2009,1,15,17,49,39,RUSSIA,,KAMCHATKA,46.857,155.154,0.11,,,
2009,2,11,17,34,50.8,INDONESIA,,CELEBES SEA,3.884,126.397,0.13,,,
2009,3,19,18,17,40.9,TONGA,,TONGA,-23.046,-174.659,0.15,,,
2009,5,28,8,24,45,HONDURAS,,OFF COAST,16.72,-86.236,4,,,
2009,7,15,9,22,29,NEW ZEALAND,,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,0.47,,,
2009,8,10,19,55,35.6,INDIA,,ANDAMAN ISLANDS,14.099,92.888,0.01,,,
2009,8,10,20,7,9.1,JAPAN,,HONSHU: S COAST,34.743,138.264,0.6,,,
2009,8,16,7,38,21.7,INDONESIA,,SUMATRA,-1.479,99.49,0.18,,,
2009,9,29,17,48,10.9,SAMOA,,SAMOA ISLANDS,-15.489,-172.095,22.35,,,
2009,9,30,10,16,9.2,INDONESIA,,SUMATRA,-0.72,99.867,0.27,,,
2009,10,7,22,3,14.4,VANUATU,,VANUATU ISLANDS,-13.006,166.51,0.31,,,
2010,1,3,21,48,5.3,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8.743,157.477,0.01,,,
2010,1,3,22,36,27.9,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8.799,157.346,3,,,
2010,1,5,12,15,32.2,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.019,157.551,0.03,,,
2010,1,12,21,53,10,HAITI,,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,3,,,
2010,2,26,20,31,26.9,JAPAN,,RYUKYU ISLANDS,25.93,128.425,0.1,,,
2010,2,27,6,34,11.5,CHILE,,CENTRAL CHILE,-36.122,-72.898,29,,,
2010,3,11,14,39,43.9,CHILE,,CENTRAL CHILE,-34.29,-71.891,0.14,,,
2010,4,6,22,15,1.5,INDONESIA,,SUMATRA,2.383,97.048,0.44,,,
2010,4,13,,,,PERU,,"513 LAKE, HUALCAN GLACIER",-9.282,-77.645,23,,,
2010,5,29,11,46,50,USA TERRITORY,MP,"SOUTH OF SARIGAN IS, N. MARIANA IS",16.708,145.97,0.04,,,
2010,6,12,19,26,50.4,INDIA,,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,,,
2010,8,10,5,23,44.9,VANUATU,,VANUATU ISLANDS,-17.541,168.069,0.23,,,
2010,8,13,21,19,33,USA TERRITORY,GU,"GUAM, MARIANA ISLANDS",12.484,141.476,0.07,,,
2010,10,25,14,42,22,INDONESIA,,SUMATRA,-3.487,100.082,16.9,,,
2010,12,21,17,19,40.6,JAPAN,,BONIN ISLANDS,26.901,143.698,0.13,,,
2010,12,25,13,16,37,VANUATU,,VANUATU ISLANDS,-19.702,167.947,0.15,,,
2011,1,9,10,3,44.2,VANUATU,,VANUATU ISLANDS,-19.157,168.311,0.03,,,
2011,2,11,20,5,30.7,CHILE,,CENTRAL CHILE,-36.474,-73.125,0.15,,,
2011,3,9,2,45,20.3,JAPAN,,HONSHU ISLAND,38.435,142.842,0.6,,,
2011,3,11,5,46,24.1,JAPAN,,HONSHU ISLAND,38.297,142.372,38.9,,,
2011,4,7,14,32,43.2,JAPAN,,E. COAST HONSHU ISLAND,38.276,141.588,0.08,,,
2011,6,24,3,9,39.4,USA,AK,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,0.1,,,
2011,6,27,,,,UK,,"PLYMOUTH, ENGLAND",50.5,-3,0.4,,,
2011,7,6,19,3,18.2,NEW ZEALAND,,KERMADEC ISLANDS,-29.539,-176.34,1.2,,,
2011,7,10,0,57,10.8,JAPAN,,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09,,,
2011,8,20,16,55,2.5,VANUATU,,VANUATU ISLANDS,-18.365,168.143,0.18,,,
2011,8,20,18,19,23.5,VANUATU,,VANUATU ISLANDS,-18.311,168.218,0.18,,,
2011,9,2,10,55,53.5,USA,AK,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.171,-171.708,0.06,,,
2011,10,21,17,57,16.1,NEW ZEALAND,,KERMADEC ISLANDS,-28.993,-176.238,0.14,,,
2012,2,2,13,34,40.6,VANUATU,,VANUATU ISLANDS,-17.827,167.133,0.08,,,
2012,3,14,9,8,35.1,JAPAN,,HOKKAIDO ISLAND,40.887,144.944,0.2,,,
2012,3,20,18,2,47.4,MEXICO,,S. MEXICO,16.493,-98.231,0.2,,,
2012,8,27,4,37,19.4,EL SALVADOR,,OFF THE COAST,12.139,-88.59,0.36,,,
2012,8,31,12,47,33.3,PHILIPPINES,,PHILIPPINE ISLANDS,10.811,126.638,0.15,,,
2012,9,5,14,42,7.8,COSTA RICA,,COSTA RICA,10.085,-85.315,0.16,,,
2012,10,28,3,4,8.8,CANADA,BC,BRITISH COLUMBIA,52.788,-132.101,12.98,,,
2012,11,7,16,35,46.9,GUATEMALA,,GUATEMALA,13.988,-91.895,0.35,,,
2012,12,7,8,18,23.1,JAPAN,,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1,,,
2013,1,5,8,58,19.3,USA,AK,"SE. ALASKA, AK",55.393,-134.652,1.5,,,
2013,2,6,1,12,25.8,SOLOMON ISLANDS,,SANTA CRUZ ISLANDS,-10.766,165.114,11,,,
2013,4,19,3,5,52.6,RUSSIA,,S. KURIL ISLANDS,46.221,150.788,0.2,,,
2013,7,21,5,9,31.4,NEW ZEALAND,,COOK STRAIT,-41.704,174.337,0.07,,,
2013,9,24,,,,PAKISTAN,,OFF COAST GWADAR,25.18,62.26,0.26,,,
2013,10,25,17,10,18,JAPAN,,E. COAST HONSHU ISLAND,37.149,144.679,0.4,,,
2013,11,17,9,4,55,ANTARCTICA,,SCOTIA SEA,-60.296,-46.362,0.15,,,
2014,4,1,23,46,46,CHILE,,NORTHERN CHILE,-19.642,-70.817,4.4,,,
2014,6,23,19,19,16,NEW ZEALAND,,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-30.118,-177.67,0.13,,,
2014,6,23,20,53,10,USA,AK,"ALEUTIAN ISLANDS, AK",51.797,178.76,0.17,,,
2014,7,11,19,21,59,JAPAN,,SANRIKU,37.04,142.425,0.2,,,
2014,7,25,10,54,49,USA,AK,"PALMA BAY, AK",58.358,-137.13,0.08,,,
2014,11,15,2,31,40,INDONESIA,,N. MOLUCCAS ISLANDS,1.928,126.54,0.09,,,
2015,5,2,16,50,46,JAPAN,,S. OF HONSHU ISLAND,31.594,140.167,0.5,,,
2015,11,13,20,51,30,JAPAN,,JAPAN,30.991,128.877,0.3,,,